text,label,word_count
The head of state visited the flood-affected regions and pledged emergency relief funding.,Politics,13
The president signed an executive order extending environmental protections across federal lands.,Politics,12
The political party's leadership election was won by the left-wing candidate by a narrow margin.,Politics,15
The surfing champion rode a 20-metre wave to claim the Big Wave Award for 2025.,Sports,15
The American athlete won the long jump with a leap of 8.95 metres at the World Championships.,Sports,17
"The badminton player's overhead smash has been clocked at over 400km/h, the world's fastest.",Sports,14
"The young footballer signed a five-year contract extension worth 300,000 pounds per week.",Sports,13
The president signed a landmark bipartisan infrastructure bill worth two trillion dollars.,Politics,12
NBA playoffs: the Warriors defeated the Celtics 112-108 in a thrilling game seven.,Sports,13
The football team secured a dramatic last-minute victory in the championship final with a stunning header from the striker.,Sports,19
The golf champion carded a final-round 65 to win the Masters tournament by two strokes.,Sports,15
The goalkeeper saved a penalty in extra time to send his side into the cup final.,Sports,16
The whistleblower leaked classified documents exposing a wide-scale government surveillance network.,Politics,11
The weightlifter lifted a combined total of 440kg to claim the Olympic gold medal.,Sports,14
The government introduced legislation to cap energy prices for vulnerable households.,Politics,11
Serena Williams announced her retirement from professional tennis after a remarkable 23-year career.,Sports,13
The ambassador was expelled following allegations of espionage against the host government.,Politics,12
The parliamentary committee launched an inquiry into the lobbying practices of pharmaceutical firms.,Politics,13
The boxer retained his world heavyweight championship title with a knockout in the eighth round.,Sports,15
"The cricketer was caught behind for a golden duck, prompting boos from the home crowd.",Sports,15
The opposition leader accused the government of mismanaging the national health service budget.,Politics,13
"The youth vote surged in the election, with under-30s backing the progressive candidate by 70 percent.",Politics,16
The ice hockey goalie made 45 saves to earn a shutout in the Stanley Cup playoff match.,Sports,17
"The archery team won silver at the Asian Games, missing gold by a single point.",Sports,15
"The president-elect named her cabinet, with several women appointed to senior ministerial roles.",Politics,13
The rugby team's fly-half kicked four penalties to secure a narrow win over their rivals.,Sports,15
The triathlete finished the gruelling Ironman race despite suffering from cramp in the swim leg.,Sports,15
The data protection commissioner fined the ministry for breaching citizens' privacy rights.,Politics,12
The cricket team won the Ashes series after a commanding performance in the final test match.,Sports,16
Sanctions were imposed on the country following evidence of human rights violations.,Politics,12
The Formula 1 driver set the fastest lap in qualifying and will start from pole position.,Sports,16
The darts player hit nine consecutive 180s to win the World Darts Championship in dramatic fashion.,Sports,16
The constitutional amendment was ratified by a two-thirds majority in the national assembly.,Politics,13
"The rowing eight won gold at the World Rowing Championships, their third consecutive title.",Sports,14
The political crisis deepened as three ministers resigned within 48 hours over policy disagreements.,Politics,14
"The Olympic swimming relay team set a new world record, breaking the previous mark by nearly a second.",Sports,18
The central bank raised interest rates by 50 basis points to combat rising inflation.,Politics,14
"The peace agreement was signed by both factions, ending a three-year civil conflict.",Politics,13
The football referee was criticised for failing to award a clear penalty kick in the final minutes.,Sports,17
"The baseball pitcher threw a no-hitter, striking out twelve batters in a dominant performance.",Sports,14
"The youth academy graduate made his first-team debut, scoring twice against a top-four rival.",Sports,14
The snooker player compiled a maximum 147 break in the first round of the World Championship.,Sports,16
Arsenal's manager fielded a defensive lineup but still managed to claim three points from the derby.,Sports,16
The foreign policy speech outlined a new doctrine prioritising multilateral diplomatic engagement.,Politics,12
The gymnast earned a perfect 10 from the judges for her floor routine at the World Championships.,Sports,17
The swimmer broke the 100m freestyle world record at the World Aquatics Championships.,Sports,13
The regional government declared autonomy in defiance of the central government's authority.,Politics,12
The American football quarterback threw four touchdowns in a commanding Super Bowl victory.,Sports,13
The governor declared a state of emergency following widespread protests in the capital city.,Politics,14
The ski jump athlete achieved a record distance at the Winter Olympics in Beijing.,Sports,14
The horse racing favourite won the Grand National in record time after a flawless run.,Sports,15
The tennis tournament at Wimbledon saw an upset as the world number one was knocked out in the second round.,Sports,20
Champions League semi-final: Real Madrid overcame Bayern Munich with a 3-2 aggregate win.,Sports,13
The table tennis champion extended his unbeaten run to 47 matches with another dominant display.,Sports,15
The Tour de France leader crashed on the descent and was airlifted to hospital with minor injuries.,Sports,17
"The party conference saw members debate climate policy, immigration reform and the NHS.",Politics,13
Roger Federer's backhand technique is studied by aspiring tennis professionals worldwide.,Sports,11
The senator was indicted on charges of bribery and money laundering related to lobbying activities.,Politics,15
The alpine skier crashed at 130km/h but miraculously walked away without injury.,Sports,12
Transparency International ranked the country 12th in its annual corruption perceptions index.,Politics,12
The UN Security Council passed a resolution demanding an immediate ceasefire in the conflict zone.,Politics,15
The whistleblower was granted asylum after fleeing allegations of treason in his home country.,Politics,14
Tensions between the two nations escalated after diplomatic talks broke down over trade tariffs.,Politics,14
The disabled sprinter broke the Paralympic world record in the 100m T44 category.,Sports,13
The prime minister announced sweeping tax reforms aimed at reducing the national deficit.,Politics,13
The government proposed a new green energy policy to reach net zero emissions by 2040.,Politics,15
The baseball team's general manager was fired after four consecutive seasons outside the playoffs.,Sports,14
The finance committee published a report criticising wasteful public spending in the military.,Politics,13
The Supreme Court ruled that the government's surveillance programme violated constitutional rights.,Politics,12
The new electoral boundary changes were criticised as gerrymandering by the opposition parties.,Politics,13
The opposition proposed doubling the minimum wage to address growing income inequality.,Politics,12
Transfer window: the Premier League club spent over 150 million pounds on new signings.,Sports,14
The foreign minister met her counterpart in Brussels to finalise the bilateral trade agreement.,Politics,14
"The stadium renovation project will increase capacity to 90,000 fans for next season.",Sports,13
The global summit on food security ended with a joint communiqué pledging aid to developing nations.,Politics,16
"The chancellor delivered the autumn budget, raising income tax thresholds for low earners.",Politics,13
The mayor announced plans to tackle homelessness with a 500-million-pound housing initiative.,Politics,12
The decathlon champion scored over 9000 points across all ten events at the European Games.,Sports,15
"The government launched a major consultation on pension reform, affecting millions of retirees.",Politics,13
The election commission confirmed voter turnout exceeded 68 percent in the general election.,Politics,13
NATO allies agreed to increase defence spending to three percent of GDP by 2030.,Politics,14
"The new law banning single-use plastics came into effect, drawing praise from environmental groups.",Politics,14
The women's World Cup final drew over 1.2 billion television viewers worldwide.,Sports,12
The cycling sprinter claimed the stage win in the Giro d'Italia with a blistering final sprint.,Sports,16
"Manchester United lost their Premier League match against Chelsea, dropping three crucial points in the title race.",Sports,17
The senator called for an independent inquiry into alleged corruption within the defence ministry.,Politics,14
The volleyball national team won gold at the Pan American Games in a five-set thriller.,Sports,15
"LeBron James scored 35 points to lead the Lakers to a playoff win, dominating the fourth quarter.",Sports,17
The athletics federation suspended the sprinter following a positive doping test.,Sports,11
The ruling coalition collapsed after a key party withdrew support over the budget disagreement.,Politics,14
The international court issued an arrest warrant for the former president on war crimes charges.,Politics,15
The trade war between the world's two largest economies escalated with new tariff announcements.,Politics,14
"The prime minister reshuffled the cabinet, bringing in new faces for health and education.",Politics,14
The justice minister proposed sentencing reforms to reduce prison overcrowding.,Politics,10
The basketball team's coach was dismissed following a ten-game losing streak.,Sports,11
The prime minister survived a vote of no confidence by a margin of just five votes.,Politics,16
"The referendum on independence attracted over 80 percent voter turnout, a record for the region.",Politics,15
"The marathon runner finished in two hours and four minutes, claiming a national record.",Sports,14
"The senator's filibuster lasted 14 hours, delaying the vote on the controversial defence budget.",Politics,14
Parliament voted to approve the new immigration bill after weeks of heated debate in the Commons.,Politics,16
